Time,CPU_Usage (%),Memory_Usage (%)
2025-05-22 09:46:54,5.2,51.9
2025-05-22 09:46:55,2.3,51.9
2025-05-22 09:46:56,0.3,51.9
2025-05-22 09:46:57,0.8,51.9
2025-05-22 09:46:58,2.0,51.9
2025-05-22 09:46:59,5.6,51.9
2025-05-22 09:47:00,2.0,51.9
2025-05-22 09:47:01,5.8,51.9
2025-05-22 09:47:02,0.8,51.9
2025-05-22 09:47:03,0.5,51.9
2025-05-22 09:47:04,1.5,52.0
2025-05-22 09:47:05,2.0,52.0
2025-05-22 09:47:06,1.0,52.0
2025-05-22 09:47:07,1.3,52.0
2025-05-22 09:47:08,2.8,52.0
2025-05-22 09:47:09,3.5,52.0
2025-05-22 09:47:10,1.8,52.0
2025-05-22 09:47:11,3.8,52.0
2025-05-22 09:47:12,1.3,52.0
2025-05-22 09:47:13,1.5,52.0
2025-05-22 09:47:14,2.5,52.0
2025-05-22 09:47:15,3.8,52.0
2025-05-22 09:47:18,0.5,52.0
2025-05-22 09:47:19,1.3,52.0
2025-05-22 09:47:21,3.9,52.0
2025-05-22 09:47:22,14.4,52.0
2025-05-22 09:47:23,2.5,52.0
2025-05-22 09:47:24,5.7,52.0
2025-05-22 09:47:25,18.5,52.0
2025-05-22 09:47:26,12.6,52.0
2025-05-22 09:47:28,7.6,52.0
2025-05-22 09:47:29,2.8,52.0
2025-05-22 09:47:30,0.5,52.0
2025-05-22 09:47:31,3.9,52.0
2025-05-22 09:47:32,11.7,52.1
2025-05-22 09:47:34,1.5,52.1
2025-05-22 09:47:35,2.7,52.1
2025-05-22 09:47:36,1.4,52.1
2025-05-22 09:47:37,82.4,52.1
2025-05-22 09:47:38,16.9,52.1
2025-05-22 09:47:39,6.6,52.1
2025-05-22 09:47:40,2.5,52.1
2025-05-22 09:47:41,3.3,52.1
2025-05-22 09:47:43,4.5,52.1
2025-05-22 09:47:44,0.3,52.1
2025-05-22 09:47:45,1.8,52.1
2025-05-22 09:47:46,4.0,52.1
2025-05-22 09:47:47,9.1,52.1
2025-05-22 09:47:48,1.0,52.1
2025-05-22 09:47:49,1.8,52.1
2025-05-22 09:47:52,1.3,52.1
2025-05-22 09:47:53,3.3,52.1
2025-05-22 09:47:54,3.4,52.1
2025-05-22 09:47:55,1.8,52.2
2025-05-22 09:47:56,7.1,52.2
2025-05-22 09:47:57,2.3,52.2
2025-05-22 09:47:58,2.0,52.2
2025-05-22 09:47:59,1.3,52.2
2025-05-22 09:48:00,1.3,52.2
2025-05-22 09:48:01,4.6,52.1
2025-05-22 09:48:02,11.0,52.2
2025-05-22 09:48:03,4.1,52.2
