src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted_gt,flow_alerted_snort
192.168.3.131,20699,72.14.213.149,32768,tcp,0,True,False
192.168.3.131,39399,72.14.213.149,8443,tcp,0,True,False
192.168.3.131,64870,72.14.213.149,88,tcp,0,True,False
192.168.3.131,56591,72.14.213.149,3690,tcp,0,True,False
192.168.3.131,25819,72.14.213.149,5901,tcp,0,True,False
192.168.3.131,58485,72.14.213.149,9,tcp,0,True,False
192.168.3.131,27276,72.14.213.149,9999,tcp,0,True,False
192.168.3.131,51776,72.14.213.149,544,tcp,0,True,False
192.168.3.131,26895,72.14.213.149,22,tcp,0,True,False
192.168.3.131,43210,72.14.213.149,111,tcp,0,True,False
192.168.3.131,42272,72.14.213.149,2869,tcp,0,True,False
192.168.3.131,52854,72.14.213.149,1026,tcp,0,True,False
192.168.3.131,13688,72.14.213.149,1050,tcp,0,True,False
192.168.3.131,51725,72.14.213.149,81,tcp,0,True,False
192.168.3.131,53744,72.14.213.149,49152,tcp,0,True,False
192.168.3.131,31494,72.14.213.149,17,tcp,0,True,False
192.168.3.131,5973,72.14.213.149,3389,tcp,0,True,False
192.168.3.131,46988,72.14.213.149,631,tcp,0,True,False
192.168.3.131,58270,72.14.213.149,8888,tcp,0,True,False
192.168.3.131,54964,72.14.213.149,993,tcp,1,True,False
192.168.3.131,30252,72.14.213.149,3000,tcp,1,True,False
192.168.3.131,25729,72.14.213.149,9000,tcp,1,True,False
192.168.3.131,37505,72.14.213.149,2161,tcp,1,True,False
192.168.3.131,39403,72.14.213.149,445,tcp,1,True,False
192.168.3.131,7980,72.14.213.149,3,tcp,1,True,False
192.168.3.131,33188,72.14.213.149,49156,tcp,1,True,False
192.168.3.131,17306,72.14.213.149,135,tcp,1,True,False
192.168.3.131,29671,72.14.213.149,10010,tcp,1,True,False
192.168.3.131,35982,72.14.213.149,119,tcp,1,True,False
192.168.3.131,55771,72.14.213.149,7070,tcp,1,True,False
192.168.3.131,30824,72.14.213.149,8080,tcp,1,True,False
192.168.3.131,20596,72.14.213.149,2003,tcp,1,True,False
192.168.3.131,694,72.14.213.149,1040,tcp,1,True,False
192.168.3.131,20811,72.14.213.149,902,tcp,1,True,False
192.168.3.131,11334,72.14.213.149,2002,tcp,1,True,False
192.168.3.131,8913,72.14.213.149,515,tcp,1,True,False
192.168.3.131,61554,72.14.213.149,8081,tcp,1,True,False
192.168.3.131,39652,72.14.213.149,1054,tcp,1,True,False
192.168.3.131,29892,72.14.213.149,5000,tcp,2,True,False
192.168.3.131,8302,72.14.213.149,1024,tcp,2,True,False
192.168.3.131,5286,72.14.213.149,2005,tcp,2,True,False
192.168.3.131,16003,72.14.213.149,4899,tcp,2,True,False
192.168.3.131,56585,72.14.213.149,1234,tcp,2,True,False
192.168.3.131,28412,72.14.213.149,1025,tcp,2,True,False
192.168.3.131,12836,72.14.213.149,5060,tcp,2,True,False
192.168.3.131,7539,72.14.213.149,1069,tcp,2,True,False
192.168.3.131,23221,72.14.213.149,1049,tcp,2,True,False
192.168.3.131,52963,72.14.213.149,548,tcp,2,True,False
192.168.3.131,31187,72.14.213.149,1900,tcp,2,True,False
192.168.3.131,60141,72.14.213.149,787,tcp,2,True,False
192.168.3.131,4289,72.14.213.149,5800,tcp,2,True,False
192.168.3.131,16360,72.14.213.149,144,tcp,2,True,False
192.168.3.131,55721,72.14.213.149,1036,tcp,2,True,False
192.168.3.131,55316,72.14.213.149,9090,tcp,2,True,False
192.168.3.131,23601,72.14.213.149,2967,tcp,2,True,False
192.168.3.131,24007,72.14.213.149,3128,tcp,2,True,False
192.168.3.131,846,72.14.213.149,5666,tcp,2,True,False
192.168.3.131,34842,72.14.213.149,6002,tcp,3,True,False
192.168.3.131,35434,72.14.213.149,13,tcp,3,True,False
192.168.3.131,42283,72.14.213.149,1064,tcp,3,True,False
192.168.3.131,17734,72.14.213.149,5357,tcp,3,True,False
