src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
192.168.178.2,49823,192.168.3.131,445,tcp,0,True
192.168.3.131,445,192.168.178.2,49823,tcp,0,True
192.168.178.2,49825,192.168.3.131,445,tcp,0,True
192.168.178.2,49853,192.168.3.131,445,tcp,0,True
192.168.178.2,49865,192.168.3.131,445,tcp,16,True
192.168.3.131,445,192.168.178.2,49865,tcp,16,True
192.168.178.2,4444,192.168.3.131,45740,tcp,18,True
72.14.213.147,443,192.168.3.131,52152,tcp,1295981542,True
65.55.17.37,80,192.168.3.131,55954,tcp,1295981543,True
192.168.3.131,55956,66.235.139.121,80,tcp,1295981543,True
192.168.3.131,55961,184.24.133.32,80,tcp,1295981543,True
72.14.213.147,80,192.168.3.131,57839,tcp,1295981545,True
192.168.3.131,55972,207.46.216.54,80,tcp,1295981545,True
192.168.3.131,57839,72.14.213.147,80,tcp,1295981545,True
192.168.3.131,57757,239.255.255.250,1900,udp,1295981559,True
72.14.213.102,443,192.168.3.131,52201,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52202,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52203,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52204,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52205,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52206,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52207,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52209,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52208,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52211,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52210,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52212,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52213,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52214,tcp,1295981562,True
72.14.213.102,443,192.168.3.131,52215,tcp,1295981562,True
192.168.3.131,56021,66.235.139.121,80,tcp,1295981569,True
65.55.206.199,80,192.168.3.131,56022,tcp,1295981569,True
192.168.3.131,55960,206.108.207.139,80,tcp,1295981569,True
66.235.133.62,80,192.168.3.131,56053,tcp,1295981571,True
192.168.3.131,56051,207.46.0.109,80,tcp,1295981570,True
