,timestamp,src_ip,src_port,dest_ip,dest_port,proto,flow_alerted
0,01/22-12:49:41.000961, 192.168.241.243,0, 192.168.241.243,0, icmp,True
1,01/22-12:49:51.001858, 192.168.241.243,0, 192.168.241.243,0, icmp,True
2,01/22-12:50:05.001658, 192.168.241.243,0, 192.168.241.243,0, icmp,True
3,01/22-12:50:14.036662, 149.171.126.5,53, 59.166.0.5,3593, udp,True
4,01/22-12:50:14.036683, 149.171.126.0,53, 59.166.0.3,49664, udp,True
5,01/22-12:50:14.122680, 149.171.126.7,53, 59.166.0.6,1464, udp,True
6,01/22-12:50:14.221568, 59.166.0.0,32119, 149.171.126.9,111, udp,True
7,01/22-12:50:14.221586, 59.166.0.0,32119, 149.171.126.9,111, udp,True
8,01/22-12:50:14.257567, 59.166.0.0,33661, 149.171.126.9,1024, udp,True
9,01/22-12:50:14.257578, 59.166.0.0,33661, 149.171.126.9,1024, udp,True
10,01/22-12:50:14.284566, 59.166.0.0,32119, 149.171.126.9,111, udp,True
11,01/22-12:50:14.284577, 59.166.0.0,32119, 149.171.126.9,111, udp,True
12,01/22-12:50:14.322604, 149.171.126.6,53, 59.166.0.0,1390, udp,True
13,01/22-12:50:14.422686, 149.171.126.4,53, 59.166.0.6,2142, udp,True
14,01/22-12:50:14.522660, 149.171.126.5,53, 59.166.0.4,49346, udp,True
15,01/22-12:50:14.622638, 149.171.126.5,53, 59.166.0.1,48847, udp,True
16,01/22-12:50:14.821560, 59.166.0.1,8989, 149.171.126.6,111, udp,True
17,01/22-12:50:14.821577, 59.166.0.1,8989, 149.171.126.6,111, udp,True
18,01/22-12:50:14.823096, 175.45.176.3,21223, 149.171.126.18,32780, udp,True
19,01/22-12:50:14.823117, 175.45.176.3,21223, 149.171.126.18,32780, udp,True
20,01/22-12:50:14.824808, 59.166.0.1,10393, 149.171.126.6,44307, udp,True
21,01/22-12:50:14.824814, 59.166.0.1,10393, 149.171.126.6,44307, udp,True
22,01/22-12:50:14.825365, 59.166.0.1,8989, 149.171.126.6,111, udp,True
23,01/22-12:50:14.825369, 59.166.0.1,8989, 149.171.126.6,111, udp,True
24,01/22-12:50:14.922711, 149.171.126.4,53, 59.166.0.7,12660, udp,True
25,01/22-12:50:15.022671, 149.171.126.6,53, 59.166.0.5,40726, udp,True
26,01/22-12:50:15.121562, 59.166.0.1,21270, 149.171.126.9,111, udp,True
27,01/22-12:50:15.121580, 59.166.0.1,21270, 149.171.126.9,111, udp,True
28,01/22-12:50:15.124969, 59.166.0.1,24266, 149.171.126.9,41049, udp,True
29,01/22-12:50:15.124974, 59.166.0.1,24266, 149.171.126.9,41049, udp,True
30,01/22-12:50:15.125601, 59.166.0.1,21270, 149.171.126.9,111, udp,True
31,01/22-12:50:15.125606, 59.166.0.1,21270, 149.171.126.9,111, udp,True
32,01/22-12:50:15.222681, 149.171.126.4,53, 59.166.0.2,62539, udp,True
33,01/22-12:50:15.522721, 149.171.126.1,53, 59.166.0.0,22848, udp,True
34,01/22-12:50:15.622737, 149.171.126.9,53, 59.166.0.8,25100, udp,True
35,01/22-12:50:15.722665, 149.171.126.2,53, 59.166.0.8,24946, udp,True
36,01/22-12:50:15.822639, 149.171.126.8,53, 59.166.0.2,26872, udp,True
37,01/22-12:50:15.922682, 149.171.126.9,53, 59.166.0.5,28565, udp,True
38,01/22-12:50:16.022649, 149.171.126.1,53, 59.166.0.1,29704, udp,True
39,01/22-12:50:16.005413, 149.171.126.16,80, 175.45.176.2,23357, tcp,True
40,01/22-12:50:16.005413, 149.171.126.16,80, 175.45.176.2,23357, tcp,True
41,01/22-12:50:16.005413, 149.171.126.16,80, 175.45.176.2,23357, tcp,True
42,01/22-12:50:16.222645, 149.171.126.4,53, 59.166.0.7,46719, udp,True
43,01/22-12:50:14.010311, 175.45.176.0,13284, 149.171.126.16,80, tcp,True
44,01/22-12:50:16.322673, 149.171.126.9,53, 59.166.0.3,4192, udp,True
45,01/22-12:50:16.422684, 149.171.126.6,53, 59.166.0.9,5685, udp,True
46,01/22-12:50:16.522674, 149.171.126.8,53, 59.166.0.7,6438, udp,True
47,01/22-12:50:16.622646, 149.171.126.1,53, 59.166.0.3,44759, udp,True
48,01/22-12:50:16.722660, 149.171.126.8,53, 59.166.0.0,9897, udp,True
49,01/22-12:50:16.822661, 149.171.126.7,53, 59.166.0.4,38902, udp,True
50,01/22-12:50:16.922530, 149.171.126.8,53, 59.166.0.4,35578, udp,True
51,01/22-12:50:16.984363, 175.45.176.2,13792, 149.171.126.16,5555, tcp,True
52,01/22-12:50:16.984363, 175.45.176.2,13792, 149.171.126.16,5555, tcp,True
53,01/22-12:50:17.022608, 149.171.126.6,53, 59.166.0.7,36998, udp,True
54,01/22-12:50:17.222699, 149.171.126.0,53, 59.166.0.8,1416, udp,True
55,01/22-12:50:17.522770, 149.171.126.2,53, 59.166.0.6,60756, udp,True
56,01/22-12:50:17.622689, 149.171.126.6,53, 59.166.0.4,26778, udp,True
57,01/22-12:50:17.722660, 149.171.126.3,53, 59.166.0.3,54634, udp,True
58,01/22-12:50:17.822669, 149.171.126.4,53, 59.166.0.2,58304, udp,True
59,01/22-12:50:17.922733, 149.171.126.9,53, 59.166.0.1,52335, udp,True
60,01/22-12:50:17.943100, 175.45.176.2,26939, 149.171.126.10,80, tcp,True
61,01/22-12:50:18.022619, 149.171.126.5,53, 59.166.0.2,47526, udp,True
62,01/22-12:50:18.121605, 59.166.0.2,39558, 149.171.126.1,111, udp,True
63,01/22-12:50:18.121623, 59.166.0.2,39558, 149.171.126.1,111, udp,True
64,01/22-12:50:18.124904, 59.166.0.2,12527, 149.171.126.1,23202, udp,True
65,01/22-12:50:18.124910, 59.166.0.2,12527, 149.171.126.1,23202, udp,True
66,01/22-12:50:18.125536, 59.166.0.2,39558, 149.171.126.1,111, udp,True
67,01/22-12:50:18.125543, 59.166.0.2,39558, 149.171.126.1,111, udp,True
68,01/22-12:50:18.322726, 149.171.126.1,53, 59.166.0.8,7419, udp,True
69,01/22-12:50:18.522691, 149.171.126.5,53, 59.166.0.6,10510, udp,True
70,01/22-12:50:18.722699, 149.171.126.7,53, 59.166.0.5,13903, udp,True
71,01/22-12:50:18.821601, 59.166.0.1,15133, 149.171.126.3,111, udp,True
72,01/22-12:50:18.821618, 59.166.0.1,15133, 149.171.126.3,111, udp,True
73,01/22-12:50:18.824961, 59.166.0.1,16931, 149.171.126.3,38340, udp,True
