------------------------------------------------------------------------------------
Date: 3/17/2025 -- 14:10:17 (uptime: 0d, 00h 00m 23s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1800680
decoder.bytes                                 | Total                     | 967588583
decoder.invalid                               | Total                     | 1
decoder.ipv4                                  | Total                     | 1800426
decoder.ethernet                              | Total                     | 1800680
decoder.arp                                   | Total                     | 254
decoder.tcp                                   | Total                     | 1772972
tcp.syn                                       | Total                     | 35340
tcp.synack                                    | Total                     | 35336
tcp.rst                                       | Total                     | 120
decoder.udp                                   | Total                     | 27120
decoder.sctp                                  | Total                     | 4
decoder.icmpv4                                | Total                     | 69
decoder.avg_pkt_size                          | Total                     | 537
decoder.max_pkt_size                          | Total                     | 1516
flow.total                                    | Total                     | 23001
flow.tcp                                      | Total                     | 17672
flow.udp                                      | Total                     | 5327
flow.icmpv4                                   | Total                     | 1
flow.tcp_reuse                                | Total                     | 11
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 112
flow.wrk.spare_sync_incomplete                | Total                     | 39
defrag.ipv4.fragments                         | Total                     | 4
decoder.event.ipv4.trunc_pkt                  | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 14318
flow.wrk.flows_evicted_pkt_inject             | Total                     | 18249
flow.wrk.flows_evicted                        | Total                     | 8839
flow.wrk.flows_injected                       | Total                     | 14200
flow.wrk.flows_injected_max                   | Total                     | 40
tcp.sessions                                  | Total                     | 17670
tcp.ssn_from_cache                            | Total                     | 11448
tcp.ssn_from_pool                             | Total                     | 6222
tcp.ack_unseen_data                           | Total                     | 14
tcp.segment_from_cache                        | Total                     | 762811
tcp.segment_from_pool                         | Total                     | 170948
tcp.stream_depth_reached                      | Total                     | 4
tcp.reassembly_gap                            | Total                     | 50
tcp.overlap                                   | Total                     | 466675
detect.alert                                  | Total                     | 4897
detect.alerts_suppressed                      | Total                     | 951
app_layer.flow.http                           | Total                     | 2508
app_layer.tx.http                             | Total                     | 4042
app_layer.error.http.parser                   | Total                     | 32
app_layer.flow.ftp                            | Total                     | 597
app_layer.tx.ftp                              | Total                     | 5702
app_layer.error.ftp.parser                    | Total                     | 45
app_layer.flow.smtp                           | Total                     | 826
app_layer.tx.smtp                             | Total                     | 1645
app_layer.flow.tls                            | Total                     | 5
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 901
app_layer.error.ssh.gap                       | Total                     | 3
app_layer.flow.imap                           | Total                     | 429
app_layer.flow.smb                            | Total                     | 360
app_layer.tx.smb                              | Total                     | 769
app_layer.flow.dcerpc_tcp                     | Total                     | 2
app_layer.tx.dcerpc_tcp                       | Total                     | 4
app_layer.flow.dns_tcp                        | Total                     | 2
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ftp-data                       | Total                     | 485
app_layer.flow.tftp                           | Total                     | 3
app_layer.tx.tftp                             | Total                     | 4
app_layer.error.tftp.parser                   | Total                     | 2
app_layer.flow.ike                            | Total                     | 2
app_layer.tx.ike                              | Total                     | 10
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 4
app_layer.error.snmp.parser                   | Total                     | 6
app_layer.flow.sip                            | Total                     | 7
app_layer.tx.sip                              | Total                     | 14
app_layer.flow.rfb                            | Total                     | 1
app_layer.tx.rfb                              | Total                     | 1
app_layer.flow.telnet                         | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 9682
app_layer.flow.dns_udp                        | Total                     | 3691
app_layer.tx.dns_udp                          | Total                     | 14746
app_layer.flow.failed_udp                     | Total                     | 1619
flow.end.state.new                            | Total                     | 165
flow.end.state.established                    | Total                     | 5241
flow.end.state.closed                         | Total                     | 17595
flow.end.tcp_state.syn_sent                   | Total                     | 3
flow.end.tcp_state.established                | Total                     | 72
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 17594
flow.end.tcp_liberal                          | Total                     | 36
flow.mgr.full_hash_pass                       | Total                     | 71
flow.mgr.rows_per_sec                         | Total                     | 9175
flow.spare                                    | Total                     | 10029
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 44002
flow.mgr.flows_notimeout                      | Total                     | 24522
flow.mgr.flows_timeout                        | Total                     | 19480
flow.mgr.flows_evicted                        | Total                     | 19480
flow.mgr.flows_evicted_needs_work             | Total                     | 13017
memcap_pressure                               | Total                     | 14
memcap_pressure_max                           | Total                     | 22
flow.recycler.recycled                        | Total                     | 8646
flow.recycler.queue_max                       | Total                     | 2058
tcp.memuse                                    | Total                     | 9961472
tcp.reassembly_memuse                         | Total                     | 1921472
ftp.memuse                                    | Total                     | 546
flow.memuse                                   | Total                     | 8416744
