,src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
0,59.166.0.0,1390,149.171.126.6,53,udp,1421927414,False
1,59.166.0.0,33661,149.171.126.9,1024,udp,1421927414,False
2,59.166.0.6,1464,149.171.126.7,53,udp,1421927414,False
3,59.166.0.5,3593,149.171.126.5,53,udp,1421927414,False
4,59.166.0.3,49664,149.171.126.0,53,udp,1421927414,False
5,59.166.0.0,32119,149.171.126.9,111,udp,1421927414,False
6,59.166.0.6,2142,149.171.126.4,53,udp,1421927414,False
7,10.40.182.3,0,10.40.182.3,0,arp,1421927415,False
8,59.166.0.5,40726,149.171.126.6,53,udp,1421927415,False
9,59.166.0.7,12660,149.171.126.4,53,udp,1421927415,False
10,10.40.170.2,0,10.40.170.2,0,arp,1421927415,False
11,10.40.170.2,0,10.40.170.2,0,arp,1421927415,False
12,10.40.182.3,0,10.40.182.3,0,arp,1421927415,False
13,59.166.0.1,48847,149.171.126.5,53,udp,1421927415,False
14,59.166.0.1,24266,149.171.126.9,41049,udp,1421927415,False
15,59.166.0.1,10393,149.171.126.6,44307,udp,1421927415,False
16,59.166.0.2,62539,149.171.126.4,53,udp,1421927415,False
17,59.166.0.1,21270,149.171.126.9,111,udp,1421927415,False
18,59.166.0.1,8989,149.171.126.6,111,udp,1421927415,False
19,59.166.0.4,49346,149.171.126.5,53,udp,1421927415,False
20,175.45.176.3,21223,149.171.126.18,32780,udp,1421927415,True
21,175.45.176.2,23357,149.171.126.16,80,tcp,1421927416,True
22,175.45.176.0,13284,149.171.126.16,80,tcp,1421927414,True
23,59.166.0.3,4192,149.171.126.9,53,udp,1421927416,False
24,59.166.0.2,26872,149.171.126.8,53,udp,1421927416,False
25,59.166.0.8,24946,149.171.126.2,53,udp,1421927416,False
26,59.166.0.9,5685,149.171.126.6,53,udp,1421927416,False
27,59.166.0.0,22848,149.171.126.1,53,udp,1421927416,False
28,59.166.0.5,28565,149.171.126.9,53,udp,1421927416,False
29,59.166.0.7,46719,149.171.126.4,53,udp,1421927416,False
30,59.166.0.8,25100,149.171.126.9,53,udp,1421927416,False
31,59.166.0.1,29704,149.171.126.1,53,udp,1421927416,False
32,59.166.0.7,36998,149.171.126.6,53,udp,1421927417,False
33,59.166.0.7,6438,149.171.126.8,53,udp,1421927417,False
34,59.166.0.8,1416,149.171.126.0,53,udp,1421927417,False
35,59.166.0.4,35578,149.171.126.8,53,udp,1421927417,False
36,59.166.0.4,38902,149.171.126.7,53,udp,1421927417,False
37,59.166.0.0,9897,149.171.126.8,53,udp,1421927417,False
38,59.166.0.3,44759,149.171.126.1,53,udp,1421927417,False
39,175.45.176.2,13792,149.171.126.16,5555,tcp,1421927417,True
40,175.45.176.2,26939,149.171.126.10,80,tcp,1421927418,True
41,59.166.0.2,58304,149.171.126.4,53,udp,1421927418,False
42,59.166.0.8,7419,149.171.126.1,53,udp,1421927418,False
43,59.166.0.2,12527,149.171.126.1,23202,udp,1421927418,False
44,59.166.0.1,52335,149.171.126.9,53,udp,1421927418,False
45,59.166.0.2,39558,149.171.126.1,111,udp,1421927418,False
46,59.166.0.2,47526,149.171.126.5,53,udp,1421927418,False
47,59.166.0.3,54634,149.171.126.3,53,udp,1421927418,False
48,59.166.0.4,26778,149.171.126.6,53,udp,1421927418,False
49,59.166.0.6,60756,149.171.126.2,53,udp,1421927418,False
50,59.166.0.6,25689,149.171.126.4,53,udp,1421927419,False
51,59.166.0.1,16931,149.171.126.3,38340,udp,1421927419,False
52,59.166.0.1,15133,149.171.126.3,111,udp,1421927419,False
53,59.166.0.2,58771,149.171.126.8,53,udp,1421927419,False
54,59.166.0.5,13903,149.171.126.7,53,udp,1421927419,False
55,59.166.0.1,24551,149.171.126.5,53,udp,1421927419,False
56,59.166.0.6,10510,149.171.126.5,53,udp,1421927419,False
57,175.45.176.0,39500,149.171.126.15,80,tcp,1421927419,True
58,175.45.176.0,29309,149.171.126.14,3000,tcp,1421927420,True
59,59.166.0.1,31564,149.171.126.8,55173,udp,1421927420,False
60,59.166.0.8,44119,149.171.126.2,53,udp,1421927420,False
61,59.166.0.9,41515,149.171.126.5,53,udp,1421927420,False
62,59.166.0.2,32716,149.171.126.7,53,udp,1421927420,False
63,59.166.0.3,40309,149.171.126.1,53,udp,1421927420,False
64,59.166.0.8,47061,149.171.126.1,53,udp,1421927420,False
65,59.166.0.1,29622,149.171.126.8,111,udp,1421927420,False
66,59.166.0.5,30507,149.171.126.2,32859,udp,1421927420,False
67,59.166.0.5,56644,149.171.126.2,111,udp,1421927420,False
68,59.166.0.5,49910,149.171.126.5,53,udp,1421927420,False
69,59.166.0.2,36701,149.171.126.7,111,udp,1421927421,False
70,59.166.0.6,15807,149.171.126.7,53,udp,1421927421,False
71,59.166.0.6,57983,149.171.126.0,53,udp,1421927421,False
72,59.166.0.6,15807,149.171.126.7,53,udp,1421927421,False
73,59.166.0.2,62824,149.171.126.7,14455,udp,1421927421,False
74,59.166.0.1,26719,149.171.126.0,53,udp,1421927421,False
75,59.166.0.7,57137,149.171.126.7,53,udp,1421927421,False
76,59.166.0.2,19393,149.171.126.0,53,udp,1421927421,False
77,175.45.176.0,61089,149.171.126.18,80,tcp,1421927421,True
78,175.45.176.0,23910,149.171.126.15,80,tcp,1421927419,True
79,175.45.176.3,44762,149.171.126.12,80,tcp,1421927422,True
80,175.45.176.0,4159,149.171.126.18,80,tcp,1421927421,True
81,59.166.0.5,13987,149.171.126.0,53,udp,1421927422,False
82,59.166.0.7,34944,149.171.126.0,53,udp,1421927422,False
83,59.166.0.3,40146,149.171.126.4,53,udp,1421927422,False
84,59.166.0.9,4864,149.171.126.7,53,udp,1421927422,False
85,59.166.0.1,35110,149.171.126.3,53,udp,1421927422,False
86,59.166.0.6,6379,149.171.126.6,53,udp,1421927422,False
87,59.166.0.8,62676,149.171.126.3,53,udp,1421927423,False
88,59.166.0.8,53247,149.171.126.7,25790,udp,1421927423,False
89,59.166.0.4,61452,149.171.126.0,53,udp,1421927423,False
90,59.166.0.6,16859,149.171.126.1,53,udp,1421927423,False
91,59.166.0.9,30521,149.171.126.6,53,udp,1421927423,False
92,59.166.0.3,1809,149.171.126.0,53,udp,1421927423,False
93,59.166.0.8,37848,149.171.126.8,53,udp,1421927423,False
94,59.166.0.8,53697,149.171.126.7,111,udp,1421927423,False
95,175.45.176.2,43850,149.171.126.13,80,tcp,1421927423,True
96,59.166.0.6,45430,149.171.126.1,53,udp,1421927424,False
97,59.166.0.2,39128,149.171.126.1,48372,udp,1421927424,False
98,59.166.0.6,4318,149.171.126.5,53,udp,1421927424,False
99,59.166.0.9,14309,149.171.126.3,53,udp,1421927424,False
100,59.166.0.2,45898,149.171.126.1,111,udp,1421927424,False
101,59.166.0.4,17491,149.171.126.0,53,udp,1421927424,False
102,59.166.0.2,37437,149.171.126.4,53,udp,1421927424,False
103,59.166.0.7,51164,149.171.126.4,53,udp,1421927425,False
104,59.166.0.7,60615,149.171.126.9,111,udp,1421927425,False
105,59.166.0.4,59256,149.171.126.8,53,udp,1421927425,False
106,59.166.0.7,26360,149.171.126.9,10351,udp,1421927425,False
107,59.166.0.7,1929,149.171.126.4,53,udp,1421927425,False
108,59.166.0.7,19947,149.171.126.0,53,udp,1421927425,False
109,175.45.176.1,4765,149.171.126.13,80,tcp,1421927425,True
110,175.45.176.3,22359,149.171.126.11,111,udp,1421927426,True
111,175.45.176.1,52726,149.171.126.13,80,tcp,1421927425,True
112,59.166.0.3,11600,149.171.126.0,53,udp,1421927426,False
113,59.166.0.4,20571,149.171.126.7,53,udp,1421927426,False
114,59.166.0.4,12252,149.171.126.1,53,udp,1421927426,False
115,59.166.0.5,1344,149.171.126.5,53,udp,1421927426,False
116,59.166.0.2,8931,149.171.126.0,53,udp,1421927426,False
117,59.166.0.5,39193,149.171.126.6,53,udp,1421927426,False
118,59.166.0.0,28852,149.171.126.3,53,udp,1421927427,False
119,10.40.182.1,0,224.0.0.5,0,ospf,1421927377,False
120,10.40.85.1,0,224.0.0.5,0,ospf,1421927377,False
121,10.40.182.1,0,224.0.0.5,0,ospf,1421927377,False
122,10.40.85.1,0,224.0.0.5,0,ospf,1421927377,False
123,59.166.0.0,6211,149.171.126.3,53,udp,1421927427,False
124,59.166.0.3,46822,149.171.126.3,53,udp,1421927427,False
125,59.166.0.6,27338,149.171.126.2,53,udp,1421927427,False
126,59.166.0.4,48170,149.171.126.0,53,udp,1421927427,False
127,59.166.0.2,25822,149.171.126.1,53,udp,1421927427,False
128,59.166.0.3,25557,149.171.126.1,53,udp,1421927427,False
129,59.166.0.6,53847,149.171.126.5,53,udp,1421927427,False
