src_ip,src_port,dest_ip,dest_port,proto,start_time,timestamp_start,timestamp_end
192.168.178.2,36712,192.168.3.131,445,tcp,1970-01-01 01:00:00.009989,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36714,192.168.3.131,445,tcp,1970-01-01 01:00:00.013169,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36716,192.168.3.131,445,tcp,1970-01-01 01:00:00.019797,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36718,192.168.3.131,445,tcp,1970-01-01 01:00:00.022189,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36720,192.168.3.131,445,tcp,1970-01-01 01:00:00.023218,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36722,192.168.3.131,445,tcp,1970-01-01 01:00:00.028899,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36724,192.168.3.131,445,tcp,1970-01-01 01:00:00.032262,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36726,192.168.3.131,445,tcp,1970-01-01 01:00:00.039447,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36728,192.168.3.131,445,tcp,1970-01-01 01:00:00.043455,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36730,192.168.3.131,445,tcp,1970-01-01 01:00:00.050037,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36732,192.168.3.131,445,tcp,1970-01-01 01:00:00.054762,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36734,192.168.3.131,445,tcp,1970-01-01 01:00:00.056319,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36736,192.168.3.131,445,tcp,1970-01-01 01:00:00.064073,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36738,192.168.3.131,445,tcp,1970-01-01 01:00:00.067410,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36740,192.168.3.131,445,tcp,1970-01-01 01:00:00.072469,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36742,192.168.3.131,445,tcp,1970-01-01 01:00:00.077715,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36744,192.168.3.131,445,tcp,1970-01-01 01:00:00.079065,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36746,192.168.3.131,445,tcp,1970-01-01 01:00:00.083253,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36748,192.168.3.131,445,tcp,1970-01-01 01:00:00.086383,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
192.168.178.2,36750,192.168.3.131,445,tcp,1970-01-01 01:00:00.088426,1970-01-01 00:00:00.009989,1970-01-01 00:00:36.276276
