,src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
0,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283908,True
176,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283908,True
352,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283909,True
528,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283919,True
704,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283919,True
880,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283920,True
1056,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283930,True
1232,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283930,True
1408,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283931,True
1584,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283941,True
1760,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283941,True
1936,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283942,True
2112,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283952,True
2288,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283953,True
2464,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283953,True
2640,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283963,True
2816,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283964,True
2992,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283964,True
3168,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283974,True
3344,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283975,True
3520,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283975,True
3696,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283985,True
3872,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283986,True
4048,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283986,True
4224,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283996,True
4400,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283997,True
4576,192.168.100.6,49160,192.168.100.149,4444,tcp,1529283997,True
4752,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284007,True
4928,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284008,True
5104,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284008,True
5280,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284018,True
5456,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284019,True
5632,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284019,True
5808,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284029,True
5984,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284030,True
6160,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284030,True
6336,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284040,True
6512,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284041,True
6688,192.168.100.6,138,192.168.100.255,138,udp,1529283982,False
6689,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284041,True
6865,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284051,True
7041,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284052,True
7217,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284052,True
7393,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284062,True
7569,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284063,True
7745,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284063,True
7921,192.168.100.3,60864,172.217.25.138,443,tcp,1529283953,False
7922,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284073,True
8098,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284074,True
8274,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284074,True
8450,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284084,True
8626,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284085,True
8802,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284086,True
8978,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284096,True
9154,192.168.100.6,49160,192.168.100.149,4444,tcp,1529284096,True
