,row_value,CPU_Usage_zeek,Memory_Usage_zeek,Drop_Rate_zeek,Packet_Analysis_Rate_zeek,Total_Packets_Sent_zeek,CPU_Usage_suricata,Memory_Usage_suricata,Drop_Rate_suricata,Packet_Analysis_Rate_suricata,Total_Packets_Sent_suricata,CPU_Usage_snort,Memory_Usage_snort,Drop_Rate_snort,Packet_Analysis_Rate_snort,Total_Packets_Sent_snort,logger-1_CPU_Usage,manager_CPU_Usage,proxy-1_CPU_Usage,worker-1_CPU_Usage,worker-2_CPU_Usage,logger-1_Drop_Rate,manager_Drop_Rate,proxy-1_Drop_Rate,worker-1_Drop_Rate,worker-2_Drop_Rate,logger-1_Memory_Usage,manager_Memory_Usage,proxy-1_Memory_Usage,worker-1_Memory_Usage,worker-2_Memory_Usage,logger-1_Total_Packets,manager_Total_Packets,proxy-1_Total_Packets,worker-1_Total_Packets,worker-2_Total_Packets,Pcap/Attack,zeek_TP,zeek_FP,zeek_FN,zeek_TN,zeek_Accuracy,zeek_Recall,zeek_FPR,zeek_Precision,zeek_F1,snort_TP,snort_FP,snort_FN,snort_TN,snort_Accuracy,snort_Recall,snort_FPR,snort_Precision,snort_F1,suricata_TP,suricata_FP,suricata_FN,suricata_TN,suricata_Accuracy,suricata_Recall,suricata_FPR,suricata_Precision,suricata_F1
0,throughput_10,17.882857142857137,1.8,0.0,2377.616666666667,142657.0,25.685714285714287,7.3,0.0,2377.0666666666666,142624.0,21.26571428571428,3.2,0.0,2377.0,142620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,latency_2,,,0.0,17.2,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.75,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,latency_4,,,0.0,17.2,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.733333333333334,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,latency_8,,,0.0,17.133333333333333,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.733333333333334,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,latency_16,,,0.0,17.166666666666668,1031.0,,,0.0,16.716666666666665,1005.0,15.6,3.1,0.0,16.733333333333334,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,latency_32,,,0.0,17.166666666666668,1031.0,,,0.0,16.716666666666665,1005.0,15.4,3.1,0.0,16.75,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,latency_64,,,0.0,17.15,1031.0,,,0.0,16.716666666666665,1005.0,,,0.0,16.75,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,latency_128,,,0.0,17.216666666666665,1031.0,14.4,7.2,0.0,16.733333333333334,1005.0,,,0.0,16.75,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,latency_256,,,0.0,17.183333333333334,1031.0,,,0.0,16.75,1005.0,,,0.0,16.733333333333334,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,throughput_10,,,,,,,,,,,,,,,,0.9133802816901408,0.3190140845070422,1.5035211267605637,7.216197183098592,7.215492957746478,0.0,0.0,0.0,0.0,0.0,0.4510548924732154,0.4494262243363111,0.4493626184849798,0.8980588984879853,0.8969294019054722,0.0,0.0,0.0,285242.0,285242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
