tool,TP,FP,FN,TN,Accuracy,Recall,FPR,Precision,F1,dataset,pcap,traffic_generator,attack
suricata,1.0,4.0,110.0,11.0,0.09523809523809523,0.009009009009009009,0.26666666666666666,0.2,0.017241379310344827,BOT-IOT,Theft/Data_Exfiltration/Data_Exfiltration.pcap,,
suricata,13.0,6.0,1446.0,145.0,0.09813664596273292,0.008910212474297465,0.039735099337748346,0.6842105263157895,0.017591339648173207,BOT-IOT,Theft/Keylogging/keylogging.pcap,,
suricata,36.0,3.0,11038.0,8.0,0.003969327920613441,0.0032508578652700017,0.2727272727272727,0.9230769230769231,0.006478898587240169,BOT-IOT,DoS/DoS_HTTP/DoS_HTTP.pcap,,
suricata,949.0,5.0,18846.0,85.0,0.051998994216746294,0.0479413993432685,0.05555555555555555,0.9947589098532494,0.09147428791748999,BOT-IOT,Scan/Service/Service.pcap,,
suricata,253.0,0.0,77.0,0.0,0.7666666666666667,0.7666666666666667,0.0,1.0,0.8679245283018869,TII-SSRC-23,malicious/bruteforce/bruteforce_http.pcap,,
suricata,291255.0,0.0,462759.0,0.0,0.3862726686772394,0.3862726686772394,0.0,1.0,0.5572823837691542,TII-SSRC-23,malicious/dos/ack_tcp_dos.pcap,,
suricata,225.0,0.0,13807.0,0.0,0.01603477765108324,0.01603477765108324,0.0,1.0,0.03156344251946413,TII-SSRC-23,malicious/mirai-botnet/mirai_ddos_syn.pcap,,
suricata,152.0,0.0,5700.0,0.0,0.025974025974025976,0.025974025974025976,0.0,1.0,0.05063291139240507,TII-SSRC-23,malicious/mirai-botnet/mirai_scan_bruteforce.pcap,,
suricata,763.0,5116.0,3332.0,49441.0,0.8559639909977494,0.18632478632478633,0.0937734846124237,0.1297839768668141,0.15299779426508922,UNSW-NB15,pcaps_22-1-2015/pcaps_22-1-2015.pcap,,
suricata,0.0,21712.0,2979.0,116228.0,0.8247858698968912,0.0,0.15740176888502247,0.0,0.0,CIC-IDS2017,Tuesday-WorkingHours_small.pcap,,
snort,109.0,0.0,2.0,15.0,0.9841269841269841,0.9819819819819819,0.0,1.0,0.9909090909090909,BOT-IOT,Theft/Data_Exfiltration/Data_Exfiltration.pcap,,
snort,230.0,0.0,1229.0,151.0,0.23664596273291927,0.157642220699109,0.0,1.0,0.27235050325636473,BOT-IOT,Theft/Keylogging/keylogging.pcap,,
snort,11049.0,0.0,25.0,11.0,0.997744700045106,0.9977424598157847,0.0,1.0,0.9988699543461556,BOT-IOT,DoS/DoS_HTTP/DoS_HTTP.pcap,,
snort,5236.0,1.0,14559.0,89.0,0.2677897912999749,0.2645112402121748,0.011111111111111112,0.9998090509833875,0.41834451901565994,BOT-IOT,Scan/Service/Service.pcap,,
snort,331.0,0.0,297.0,0.0,0.5270700636942676,0.5270700636942676,0.0,1.0,0.6903023983315955,TII-SSRC-23,malicious/bruteforce/bruteforce_http.pcap,,
snort,,,,,,,,,,TII-SSRC-23,malicious/dos/ack_tcp_dos.pcap,,
snort,,,,,,,,,,TII-SSRC-23,malicious/mirai-botnet/mirai_ddos_syn.pcap,,
snort,,,,,,,,,,TII-SSRC-23,malicious/mirai-botnet/mirai_scan_bruteforce.pcap,,
snort,,,,,,,,,,UNSW-NB15,pcaps_22-1-2015/pcaps_22-1-2015.pcap,,
snort,0.0,572.0,2979.0,137368.0,0.9748011268884962,0.0,0.004146730462519936,0.0,0.0,CIC-IDS2017,Tuesday-WorkingHours_small.pcap,,
zeek,2.0,2.0,116.0,22.0,0.16901408450704225,0.01694915254237288,0.08333333333333333,0.5,0.03278688524590164,BOT-IOT,Theft/Data_Exfiltration/Data_Exfiltration.pcap,,
zeek,16.0,0.0,1453.0,164.0,0.11022657685241886,0.010891763104152484,0.0,1.0,0.021548821548821546,BOT-IOT,Theft/Keylogging/keylogging.pcap,,
zeek,21.0,0.0,29688.0,56.0,0.002586930959180245,0.0007068565081288498,0.0,1.0,0.0014127144298688194,BOT-IOT,DoS/DoS_HTTP/DoS_HTTP.pcap,,
zeek,321.0,0.0,1463043.0,2733.0,0.0020830818151868534,0.00021935758977260613,0.0,1.0,0.0004386189651461892,BOT-IOT,Scan/Service/Service.pcap,,
zeek,,,,,,,,,,TII-SSRC-23,malicious/bruteforce/bruteforce_http.pcap,,
zeek,,,,,,,,,,TII-SSRC-23,malicious/dos/ack_tcp_dos.pcap,,
